MORPHEMES,MORPHS,ZEROFILLED,RAW
ARKKU,arkku,arkku,a r k {kØkkk} u 
ARKKU GEN,arku.n,arkØu.n,a r k {kØkkk} u n
ARKKU PTV,arkku.a,arkku.Øa,a r k {kØkkk} u {Øt} {aä}
ARKKU ESS,arkku.na,arkku.na,a r k {kØkkk} u {nrs} {aä}
ARKKU ILL,arkku.un,arkku.Øun,a r k {kØkkk} u {Øh} {V} n
ARKKU ILL,arkku.hun,arkku.hun,a r k {kØkkk} u {Øh} {V} n
ARKKU PL INE,arku.i.ssa,arkØu.i.ssa,a r k {kØkkk} u {ij} s s {aä}
ARKKU PL GENien,arkku.j.en,arkku.j.en,a r k {kØkkk} u {ij} e n
ARKKU GENin,arkku.in,arkku.in,a r k {kØkkk} u i n
ARKKU PL PTV,arkku.j.a,arkku.j.Øa,a r k {kØkkk} u {ij} {Øt} {aä}
ARKKU PL ILL,arkku.i.hin,arkku.i.hin,a r k {kØkkk} u {ij} {Øh} {V} n
PATO,pato,pato,p a {tdttt} o 
PATO GEN,pado.n,pado.n,p a {tdttt} o n
PATO PTV,pato.a,pato.Øa,p a {tdttt} o {Øt} {aä}
PATO ESS,pato.na,pato.na,p a {tdttt} o {nrs} {aä}
PATO ILL,pato.on,pato.Øon,p a {tdttt} o {Øh} {V} n
PATO ILL,pato.hon,pato.hon,p a {tdttt} o {Øh} {V} n
PATO PL INE,pado.i.ssa,pado.i.ssa,p a {tdttt} o {ij} s s {aä}
PATO PL GENien,pato.j.en,pato.j.en,p a {tdttt} o {ij} e n
PATO GENin,pato.in,pato.in,p a {tdttt} o i n
PATO PL PTV,pato.j.a,pato.j.Øa,p a {tdttt} o {ij} {Øt} {aä}
PATO PL ILL,pato.i.hin,pato.i.hin,p a {tdttt} o {ij} {Øh} {V} n
ARVELU,arvelu,arvelu,a r v e l u 
ARVELU GEN,arvelu.n,arvelu.n,a r v e l u n
ARVELU PTV,arvelu.a,arvelu.Øa,a r v e l u {Øt} {aä}
ARVELU ESS,arvelu.na,arvelu.na,a r v e l u {nrs} {aä}
ARVELU ILL,arvelu.un,arvelu.Øun,a r v e l u {Øh} {V} n
ARVELU ILL,arvelu.hun,arvelu.hun,a r v e l u {Øh} {V} n
